seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,direction,113.55,5.000,0.00
1,measure,survey,0.00,0.00,2,direction,199.29,11.000,0.00
2,measure,survey,0.00,0.00,3,direction,23.40,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,survey,0.00,0.00,9,direction,195.30,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,direction,119.40,77.000,0.00
13,measure,survey,0.00,0.00,14,direction,286.83,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,direction,32.43,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,direction,87.99,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,survey,-958.28,269.43,1,direction,52.17,324.087,995.44
21,measure,survey,-958.28,269.43,2,direction,291.03,330.087,995.44
22,measure,survey,-958.28,269.43,3,no_signal,,336.087,995.44
23,measure,survey,-958.28,269.43,4,no_signal,,342.087,995.44
24,measure,survey,-958.28,269.43,5,no_signal,,348.087,995.44
25,measure,survey,-958.28,269.43,6,no_signal,,354.087,995.44
26,measure,survey,-958.28,269.43,7,no_signal,,360.087,995.44
27,measure,survey,-958.28,269.43,8,no_signal,,366.087,995.44
28,measure,survey,-958.28,269.43,9,direction,305.37,372.087,995.44
29,measure,survey,-958.28,269.43,10,no_signal,,378.087,995.44
30,measure,survey,-958.28,269.43,11,no_signal,,384.087,995.44
31,measure,survey,-958.28,269.43,12,direction,57.80,390.087,995.44
32,measure,survey,-958.28,269.43,13,direction,23.09,396.087,995.44
33,measure,survey,-958.28,269.43,14,no_signal,,402.087,995.44
34,measure,survey,-958.28,269.43,15,no_signal,,408.087,995.44
35,measure,survey,-958.28,269.43,16,no_signal,,414.087,995.44
36,measure,survey,-958.28,269.43,17,no_signal,,420.087,995.44
37,measure,survey,-958.28,269.43,18,no_signal,,426.087,995.44
38,measure,survey,-958.28,269.43,19,no_signal,,432.087,995.44
39,measure,survey,-958.28,269.43,20,no_signal,,438.087,995.44
40,clear,survey-clear,-753.20,-263.48,2,success,,557.288,1566.44
41,clear,survey-clear,-642.16,-175.41,9,success,,590.632,1708.16
42,measure,survey-clear,-812.54,-551.17,3,no_signal,,679.149,2120.74
43,measure,survey-clear,-812.54,-551.17,4,no_signal,,685.149,2120.74
44,measure,survey-clear,-812.54,-551.17,5,no_signal,,691.149,2120.74
45,measure,survey-clear,-812.54,-551.17,6,no_signal,,697.149,2120.74
46,measure,survey-clear,-812.54,-551.17,7,direction,292.48,703.149,2120.74
47,measure,survey-clear,-812.54,-551.17,8,no_signal,,709.149,2120.74
48,measure,survey-clear,-812.54,-551.17,10,no_signal,,715.149,2120.74
49,measure,survey-clear,-812.54,-551.17,11,no_signal,,721.149,2120.74
50,measure,survey-clear,-812.54,-551.17,12,no_signal,,727.149,2120.74
51,measure,survey-clear,-812.54,-551.17,14,direction,349.35,733.149,2120.74
52,measure,survey-clear,-812.54,-551.17,15,no_signal,,739.149,2120.74
53,measure,survey-clear,-812.54,-551.17,16,no_signal,,745.149,2120.74
54,measure,survey-clear,-812.54,-551.17,17,no_signal,,751.149,2120.74
55,measure,survey-clear,-812.54,-551.17,18,no_signal,,757.149,2120.74
56,measure,survey-clear,-812.54,-551.17,19,no_signal,,763.149,2120.74
57,measure,survey-clear,-812.54,-551.17,20,no_signal,,769.149,2120.74
58,measure,survey-clear,-118.00,-969.35,3,no_signal,,937.293,2931.46
59,measure,survey-clear,-118.00,-969.35,4,no_signal,,943.293,2931.46
60,measure,survey-clear,-118.00,-969.35,5,direction,312.57,949.293,2931.46
61,measure,survey-clear,-118.00,-969.35,6,direction,342.09,955.293,2931.46
62,measure,survey-clear,-118.00,-969.35,7,direction,236.72,961.293,2931.46
63,measure,survey-clear,-118.00,-969.35,8,no_signal,,967.293,2931.46
64,measure,survey-clear,-118.00,-969.35,10,direction,348.81,973.293,2931.46
65,measure,survey-clear,-118.00,-969.35,11,no_signal,,979.293,2931.46
66,measure,survey-clear,-118.00,-969.35,14,direction,29.49,985.293,2931.46
67,measure,survey-clear,-118.00,-969.35,15,no_signal,,991.293,2931.46
68,measure,survey-clear,-118.00,-969.35,16,no_signal,,997.293,2931.46
69,measure,survey-clear,-118.00,-969.35,17,no_signal,,1003.293,2931.46
70,measure,survey-clear,-118.00,-969.35,18,no_signal,,1009.293,2931.46
71,measure,survey-clear,-118.00,-969.35,19,no_signal,,1015.293,2931.46
72,measure,survey-clear,-118.00,-969.35,20,no_signal,,1021.293,2931.46
73,clear,survey-clear,238.19,-765.51,14,success,,1108.372,3341.86
74,measure,survey-clear,657.74,-730.14,3,direction,66.47,1198.578,3762.89
75,measure,survey-clear,657.74,-730.14,4,no_signal,,1204.578,3762.89
76,measure,survey-clear,657.74,-730.14,5,direction,244.89,1210.578,3762.89
77,measure,survey-clear,657.74,-730.14,6,direction,268.95,1216.578,3762.89
78,measure,survey-clear,657.74,-730.14,7,no_signal,,1222.578,3762.89
79,measure,survey-clear,657.74,-730.14,8,no_signal,,1228.578,3762.89
80,measure,survey-clear,657.74,-730.14,10,direction,318.90,1234.578,3762.89
81,measure,survey-clear,657.74,-730.14,11,no_signal,,1240.578,3762.89
82,measure,survey-clear,657.74,-730.14,15,no_signal,,1246.578,3762.89
83,measure,survey-clear,657.74,-730.14,16,direction,83.55,1252.578,3762.89
84,measure,survey-clear,657.74,-730.14,17,no_signal,,1258.578,3762.89
85,measure,survey-clear,657.74,-730.14,18,no_signal,,1264.578,3762.89
86,measure,survey-clear,657.74,-730.14,19,no_signal,,1270.578,3762.89
87,measure,survey-clear,657.74,-730.14,20,direction,49.57,1276.578,3762.89
88,measure,survey-clear,988.50,27.55,3,direction,67.11,1447.926,4589.63
89,measure,survey-clear,988.50,27.55,4,direction,65.50,1453.926,4589.63
90,measure,survey-clear,988.50,27.55,8,no_signal,,1459.926,4589.63
91,measure,survey-clear,988.50,27.55,10,direction,281.35,1465.926,4589.63
92,measure,survey-clear,988.50,27.55,11,no_signal,,1471.926,4589.63
93,measure,survey-clear,988.50,27.55,15,no_signal,,1477.926,4589.63
94,measure,survey-clear,988.50,27.55,16,direction,111.79,1483.926,4589.63
95,measure,survey-clear,988.50,27.55,17,no_signal,,1489.926,4589.63
96,measure,survey-clear,988.50,27.55,18,no_signal,,1495.926,4589.63
97,measure,survey-clear,988.50,27.55,19,no_signal,,1501.926,4589.63
98,measure,survey-clear,988.50,27.55,20,direction,27.83,1507.926,4589.63
99,clear,survey-clear,1196.61,518.53,3,no_target_in_range,,1617.578,5122.89
100,clear,survey-clear,797.26,506.80,16,success,,1702.482,5522.41
101,measure,survey-clear,616.46,756.23,1,direction,168.12,1770.096,5830.48
102,measure,survey-clear,616.46,756.23,4,direction,12.24,1776.096,5830.48
103,measure,survey-clear,616.46,756.23,8,direction,109.66,1782.096,5830.48
104,measure,survey-clear,616.46,756.23,11,no_signal,,1788.096,5830.48
105,measure,survey-clear,616.46,756.23,12,direction,156.63,1794.096,5830.48
